René Saint-Pierre,Assemblée nationale du Québec
Sam Houston,Texas Revolutionary War
Davy Crockett,Texas Revolutionary War
Lorenzo de Zavala ,Texas Revolutionary War
William B. Travis,Texas Revolutionary War
James Bowie,Texas Revolutionary War
Deaf Smith,Texas Revolutionary War
Juan Seguin,Texas Revolutionary War
Jose Antonio Navarre,Texas Revolutionary War
Father Miguel Hidalgo y Costilla,Texas Revolutionary War
Juan Bautista de las Casas,Texas Revolutionary War
"John Jolly ""Chief Oolooteka""",Texas Revolutionary War
"Peta Nocona ""The Lone Wanderer""",Texas Revolutionary War
Buffalo Hump,Texas Revolutionary War
Edward Burleson,Texas Revolutionary War
Haden Edwards,Texas Revolutionary War
Jacob Snively,Texas Revolutionary War
James Bonham,Texas Revolutionary War
Moseley Baker,Texas Revolutionary War
José Francisco Ruiz,Texas Revolutionary War
Erasmo Seguin,Texas Revolutionary War
José Antonio de la Garza,Texas Revolutionary War
"The Bowl ""Chief Bowles""",Texas Revolutionary War
"Cynthia Parker ""Someone Found""",Texas Revolutionary War
Robert McAlpin Williamson,Texas Revolutionary War
Memucan Hunt Jr. ,Texas Revolutionary War
Collin McKinney,Texas Revolutionary War
Susanna Dickinson,Texas Revolutionary War
Emilio Largo,SPECTRE
Rose Klebb,SPECTRE
Count Lippe,SPECTRE
Dr. Julius No,SPECTRE
Aurich Goldfinger,SPECTRE
Dr. Kananga,SPECTRE
Karl Stromberg,SPECTRE
Alec Trevelian,SPECTRE
General Ourumov,SPECTRE
Hugo Drax,SPECTRE
Francisco Scaramanga,SPECTRE
Max Zorin,SPECTRE
Aristotle Kristatos,SPECTRE
Elektra King,SPECTRE
Mr. White,SPECTRE
Le Chiffre,SPECTRE
Domomic Green,SPECTRE
Raoul Silva,SPECTRE
Frank Sanchez,SPECTRE
Elliot Carver,SPECTRE
Gustave Graves,SPECTRE
Mr. Osato,SPECTRE
Kamal Khan,SPECTRE
General Orlov,SPECTRE
Mr. Wint,SPECTRE
Mr. Kidd,SPECTRE
Granville Sharp,Sierra Leone Board of Directors
"Governor John Clarkson, Lieutenant",Sierra Leone Board of Directors
Thomas Peters,Sierra Leone Board of Directors
Henry Thornton,Sierra Leone Board of Directors
David George ,Sierra Leone Board of Directors
William Wilberforce,Sierra Leone Board of Directors
Rev. Thomas Clarkson,Sierra Leone Board of Directors
Moses Wilkinsin,Sierra Leone Board of Directors
Samuel Whitbread,Sierra Leone Board of Directors
Oluadah Equiano,Sierra Leone Board of Directors
Charley Smith,Sierra Leone Board of Directors
Edmund Hartson,Sierra Leone Board of Directors
William Watson,Sierra Leone Board of Directors
Joseph Barss,Sierra Leone Board of Directors
Gaius Octavius Caesar Octavianus,Julius Caesar 
Marc Antony,Julius Caesar 
Marcus Aemilius Lepidus,Julius Caesar 
Marcus Junius Brutus the Younger,Julius Caesar 
Gaius Cassius Longinus,Julius Caesar 
Lucius Caesetius Flavius,Julius Caesar 
Gaius Epidus Marullus,Julius Caesar 
Marcus Tullius Cicero,Julius Caesar 
Servilius Casca,Julius Caesar 
Decimus Junius Brutus Albinus,Julius Caesar 
Lucius Cornellius Cinna,Julius Caesar 
Lucius Tillius Cimber,Julius Caesar 
Gaius Trebonius,Julius Caesar 
Quintus Ligarius,Julius Caesar 
Publius,Julius Caesar 
Popillius Lena,Julius Caesar 
Margaret d'Anjou,JCC Lancaster
Edmund Beaufort,JCC Lancaster
Henry Percy,JCC Lancaster
Henry Holland,JCC Lancaster
Mary of Guelders ,JCC Lancaster
Humphrey Stafford,JCC Lancaster
Sir Thomas Charlton,JCC Lancaster
James II of Scotland,JCC Lancaster
Elizabeth Woodville ,JCC Lancaster
Jacquetta of Luxembourg,JCC Lancaster
Thomas de Ros,JCC Lancaster
Ralph Percy,JCC Lancaster
Jasper Tudor,JCC Lancaster
Sir Thomas Tresham,JCC Lancaster
Henry Beaufort,JCC Lancaster
John Clifford,JCC Lancaster
Richard of York,JCC York
Richard Neville ,JCC York
George Plantagenet,JCC York
John Neville ,JCC York
William Neville,JCC York
Thomas Bourchier,JCC York
Andrew Trollope ,JCC York
Thomas Neville,JCC York
John Howard,JCC York
William Hastings ,JCC York
"William ""Black William"" Herbert",JCC York
Richard Neville ,JCC York
Philip the Good,JCC York
